dataset,model,split,nll,ppl
jsb,baseline,train,0.8664607339435153,2.3784778730442357
jsb,baseline,valid,0.9139634370803833,2.494188528142726
jsb,baseline,test,0.9439233839511871,2.570044936956092
jsb,relative,train,0.48186174035072327,1.6190859155753725
jsb,relative,valid,0.5024120608965555,1.6527028868263522
jsb,relative,test,0.5302290916442871,1.6993215644005857
piano_e,baseline,train,1.860687935739249,6.42815740991699
piano_e,baseline,valid,1.9066138236146224,6.730260321151818
piano_e,baseline,test,1.905271317585405,6.721230968428856
piano_e,relative,train,1.6586433155275018,5.252180457024823
piano_e,relative,valid,1.7277455220096989,5.627951502368485
piano_e,relative,test,1.7139259131557971,5.550710364413036
